minecraft:bottle_o__enchanting minecraft:experience_bottle
minecraft:bucket_of_axolotl minecraft:axolotl_bucket
minecraft:bucket_of_cod minecraft:cod_bucket
minecraft:bucket_of_pufferfish minecraft:pufferfish_bucket
minecraft:bucket_of_salmon minecraft:salmon_bucket
minecraft:bucket_of_tropical_fish minecraft:tropical_fish_bucket
minecraft:eye_of_ender minecraft:ender_eye
minecraft:minecart_with_chest minecraft:chest_minecart
minecraft:minecart_with_command_block minecraft:command_block_minecart
minecraft:minecart_with_furnace minecraft:furnace_minecart
minecraft:minecart_with_hopper minecraft:hopper_minecart
minecraft:minecart_with_tnt minecraft:tnt_minecart
minecraft:redstone_dust minecraft:redstone
minecraft:book_and_quill minecraft:writable_book
minecraft:empty_map minecraft:map
minecraft:leather_cap minecraft:leather_helmet
minecraft:leather_pants minecraft:leather_leggings
minecraft:leather_tunic minecraft:leather_chestplate
minecraft:map_or_explorer_map minecraft:map
minecraft:potions minecraft:potion
minecraft:steak minecraft:cooked_beef
minecraft:turtle_shell minecraft:turtle_helmet
minecraft:creeper_charge_banner_pattern minecraft:creeper_banner_pattern
minecraft:flower_charge_banner_pattern minecraft:flower_banner_pattern
minecraft:skull_charge_banner_pattern minecraft:skull_banner_pattern
minecraft:snout_banner_pattern minecraft:piglin_banner_pattern
minecraft:thing_banner_pattern minecraft:mojang_banner_pattern
minecraft:dragon_s_breath minecraft:dragon_breath
minecraft:nether_quartz minecraft:quartz
minecraft:rabbit_s_foot minecraft:rabbit_foot
minecraft:slimeball minecraft:slime_ball
minecraft:spawn_npc minecraft:npc_spawn_egg
